"province","year","pop_total","pop_male","pop_female","pop_urban","pop_rural","pop_birth","pop_death","pop_growth","population","population.rural","population.urban"
"Anhui",1949,2787,1466,1321,,,34.34,16.23,18.11,27.87,,
"Anhui",1950,2842,1498,1344,,,33.61,16.11,17.5,28.42,,
"Anhui",1951,2914,1534,1380,,,39.45,15.83,23.62,29.14,,
"Anhui",1952,2966,1561,1405,,,40.69,16.5,24.19,29.66,,
"Anhui",1953,3066,1610,1456,266.4354,2799.5646,36.73,15.18,21.55,30.66,,
"Anhui",1954,3149,1654,1495,273.963,2875.037,43.3,16.6,26.7,31.49,,
"Anhui",1955,3201,1681,1520,282.0081,2918.9919,27.97,11.8,16.17,32.01,,
"Anhui",1956,3243,1704,1539,289.9242,2953.0758,33.17,14.25,18.92,32.43,,
"Anhui",1957,3337,1750,1587,298.9952,3038.0048,29.75,9.1,20.65,33.37,,
"Anhui",1958,3394,1783,1611,422.8924,2971.1076,23.83,12.36,11.47,33.94,,
"Anhui",1959,3427,1790,1637,470.1844,2956.8156,19.89,16.72,3.17,34.27,,
"Anhui",1960,3043,1563,1480,489.923,2553.077,11.35,68.58,-57.23,30.43,,
"Anhui",1961,2988,1541,1447,463.14,2524.86,12.34,8.11,4.23,29.88,,
"Anhui",1962,3134,1615,1519,435.626,2698.374,53.26,8.23,45.03,31.34,,
"Anhui",1963,3232,1664,1568,423.392,2808.608,50.69,7.92,42.77,32.32,,
"Anhui",1964,3181,1644,1537,368.0417,2812.9583,39.85,8.6,31.25,31.81,,
"Anhui",1965,3286,1694,1592,380.8474,2905.1526,41.79,7.24,34.55,32.86,,
"Anhui",1966,3407,1758,1649,393.8492,3013.1508,41.08,7.12,33.96,34.07,,
"Anhui",1967,3523,1818,1705,407.9634,3115.0366,40.61,6.99,33.62,35.23,,
"Anhui",1968,3641,1886,1755,421.9919,3219.0081,39.94,6.87,33.07,36.41,,
"Anhui",1969,3762,1954,1808,437.1444,3324.8556,39.29,6.76,32.53,37.62,,
"Anhui",1970,3940,2037,1903,451.918,3488.082,37.18,6.45,30.73,39.4,,
"Anhui",1971,4073,2106,1967,467.9877,3605.0123,35.9,5.91,29.99,40.73,,
"Anhui",1972,4199,2165,2034,484.1447,3714.8553,35.17,6.58,28.59,41.99,,
"Anhui",1973,4317,2227,2090,501.2037,3815.7963,32.75,5.94,26.81,43.17,,
"Anhui",1974,4409,2276,2133,518.0575,3890.9425,27.94,5.71,22.23,44.09,,
"Anhui",1975,4492,2320,2172,535.8956,3956.1044,23.93,5.68,18.25,44.92,,
"Anhui",1976,4558,2356,2202,555.1644,4002.8356,22.54,5.51,17.03,45.58,,
"Anhui",1977,4628,2394,2234,573.872,4054.128,21.36,5.52,15.84,46.28,,
"Anhui",1978,4713,2439,2274,594.7806,4118.2194,20.49,4.78,15.71,47.13,,
"Anhui",1979,4803,2485,2318,622.9491,4180.0509,21.79,4.69,17.1,48.03,,
"Anhui",1980,4893,2530,2363,652.2369,4240.7631,19.9,4.62,15.28,48.93,,
"Anhui",1981,4957,2565,2392,683.0746,4273.9254,18.73,4.81,13.92,49.57,,
"Anhui",1982,5016,2600,2416,715.2816,4300.7184,18.38,4.78,13.6,50.16,,
"Anhui",1983,5056,2626,2430,744.2432,4311.7568,17.75,5.28,12.47,50.56,,
"Anhui",1984,5103,2653,2450,782.2899,4320.7101,16.08,5.32,10.76,51.03,,
"Anhui",1985,5156,2683,2473,822.382,4333.618,15.61,5.16,10.45,51.56,,
"Anhui",1986,5217,2714,2503,863.9352,4353.0648,17.9,6.6,11.3,52.17,,
"Anhui",1987,5287,2750,2537,907.7779,4379.2221,18.9,5.9,13,52.99,,
"Anhui",1988,5377,2795,2582,939.8996,4437.1004,20.8,5.6,15.2,53.77,,
"Anhui",1989,5469,2842,2627,973.482,4495.518,23.6,5.9,17.7,54.69,,
"Anhui",1990,5661,2934,2727,1015.5834,4645.4166,24.47,6.25,18.22,56.75,,
"Anhui",1991,5744,2977,2767,1031.6224,4712.3776,21.19,6.06,15.13,57.61,,
"Anhui",1992,5817,3015,2802,1058.694,4758.306,18.76,6.14,12.62,58.34,,
"Anhui",1993,5870,3044,2826,1084.776,4785.224,17.18,6.51,10.67,58.97,,
"Anhui",1994,5938,3081,2857,1115.1564,4822.8436,16.7,6.86,9.84,59.55,,
"Anhui",1995,6000,3116,2884,1145.4,4854.6,16.07,6.41,9.66,60.13,,
"Anhui",1996,6054,3144,2910,1314.3234,4739.6766,16,6.5,9.5,60.7,,
"Anhui",1997,6109,3171,2938,1345.2018,4763.7982,15.8,6.5,9.3,61.27,,
"Anhui",1998,6152,3191,2961,1373.7416,4778.2584,15.74,6.54,9.2,61.84,,
"Anhui",1999,6205,3219,2986,1613.3,4591.7,15.1,6.5,8.6,62.37,,
"Anhui",2000,6278,3258,3020,1757.84,4520.16,13.4,5.76,7.64,60.93,,
"Anhui",2001,6325,3283,3042,1853.225,4471.775,12.46,5.85,6.61,61.28,,
"Anhui",2002,6369,3307,3062,1955.283,4413.717,11.2,5.17,6.03,61.44,,
"Anhui",2003,6410,3333,3077,2051.2,4358.8,11.15,5.2,5.95,61.63,,
"Anhui",2004,6461,3359,3102,2164.435,4296.565,11.62,5.5,6.12,62.28,,
"Anhui",2005,6516,3388,3127,2313.18,4202.82,12.43,6.23,6.2,61.201,39.44,21.7
"Anhui",2006,6593,3429,3164,2446.003,4146.997,12.6,6.3,6.3,61.1,38.432,22.668
